Hedge,Type,Definition of Hedge Type,Hedge Definition,Hedge Example,Non-hedge Definition,Non-hedge Example,Stem,Probability
practically,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),almost; nearly,Their provisions were practically gone.,in a practical manner; virtually,He pointed out practically that the government couldn't afford this.,n,1
probable,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),likely to occur; likely to prove true,It's a case of assault and probable theft.,Other,Other,n,1
probably,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express uncertainty,Jane was probably drunk.,Other,Other,n,1
propose,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),put forth for consideration,I propose that we wait for a few minutes before we leave.,propose marriage,John proposed to Mary this weekend.,y,1
rarely,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),infrequently,He rarely goes out in public anymore.,Other,Other,y,1
read,hRel,imply that the speaker attributes information to some other source in order to downplay it OR to garner power for their statement rather than committing to the proposition themselves,to reference information acquired through reading,I read that this place is bad.,to look at carefully in order to understand the meaning,I read a book.,y,0.233333333
really,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if negated - meaning 'not actually',He is not really one for talking.,very,The soup is really hot.,n,0.570093458
recall,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),if negated - to indicate uncertainty about the conveyed information,I can't recall the exact numbers but they were miniscule.,if negated - to indicate actual inability to remember information; if not negated - all meanings,I don't recall where I put my keys.,y,0
remember,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),if negated - to indicate uncertainty about the conveyed information,I can't remember the exact numbers but they were miniscule.,if negated - to indicate actual inability to remember information; if not negated - all meanings,I can't remember where I put my keys.,y,0.034482759
rough,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),course-grained; general,This is a rough estimate.,uneven; violent; other,The rough surface of the floor scratched his feet.,n,1
roughly,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),in a coarse-grained or approximate manner,There are roughly a thousand soldier in the area.,violently,He shoved him roughly against the wall.,n,1
seem,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to give the impression of being,The problem seems to be a bug in the software.,Other,Other,y,1
seemingly,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to give the impression of being,He is seemingly recovered from his extended illness.,Other,Other,n,1
seldom,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),rarely; infrequently,She seldom visited her parents upstate anymore.,Other,Other,n,1
several,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),an indeterminate quantity; a few,The new ruling opened the door to several thousand new lawsuits each year.,Other,Other,n,1
should,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express likeliness,It should be rainy tomorrow.,to express duty/obligation,A good system should be able to handle any airport.,y,0.064935065
some,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if the speaker is uncertain or appears to be deliberately underspecifying,There are some contexts in which this behavior would be inapproriate.,when used as a grammatical necessity or when specification would not be necessary in the context of the conversation,Some days it's so hard to get up.,y,0.52991453
somebody,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if the speaker is uncertain or appears to be deliberately underspecifying,Well somebody already answered those questions um I won't say who.,when used as a grammatical necessity or when specification would not be necessary in the context of the conversation,It would be so easy for somebody to disturb something here.,n,0.333333333
somehow,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if the speaker is uncertain or appears to be deliberately underspecifying; in some manner,And then the reagents react somehow and we get a new chemical byproduct.,when used as a grammatical necessity or when specification would not be necessary in the context of the conversation,We're just going to have to scrounge up the money somehow.,n,0
someone,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if the speaker is uncertain or appears to be deliberately underspecifying,Someone will have to clean up this mess.,when used as a grammatical necessity or when specification would not be necessary in the context of the conversation; or to indicate a specific person,I am someone to trust.,n,0.552631579
sometimes,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if the speaker is uncertain or appears to be deliberately underspecifying; infrequently,The health inspectors comes around unexpectedly sometimes.,when used as a grammatical necessity or when specification would not be necessary in the context of the conversation,Sometimes you win and sometimes you lose but what's important is your attitude.,n,0.25
somewhat,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if the speaker is uncertain or appears to be deliberately underspecifying,I noticed that the car was somewhat scratched up after your little joy ride.,when used as a grammatical necessity or when specification would not be necessary in the context of the conversation,Other,n,1
somewhere,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if the speaker is uncertain or appears to be deliberately underspecifying,It's somewhere close to nine o'clock right now.,when used as a grammatical necessity or when specification would not be necessary in the context of the conversation,I'm sure you'll find your keys somewhere.,n,0.384615385
speculate,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to form a theory or conjecture,I can only speculate as to why they showed up today.,to engage in a business transaction,He was a trader who speculated on the price of oil.,y,1
suggest,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to cause one to think that something is the case; to put forward for consideration,The results suggest that the procedure is effective.,Other,Other,y,1
suppose,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to assume; to take without evidence,I suppose the package will arrive next week.,to be required/obligated,I'm supposed to call if I'm going to be late.,y,1
sure,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),if negated - to express a presence or lack of confidence with respect to something,I'm not sure what the exact numbers are.,reliable; unerring; unfailing,The footing was even and sure.,n,0.935483871
technically,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),with respect to the facts,Technically this isn't completely correct.,having to do with a display of skill; technologically advanced,The performance of that concerto was technically sound and emotionally expressive.,n,1
think,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to believe,I think it's an important issue.,to come up with,I thought of the solution.,y,0.951351351
totally,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),if negated - meaning 'not completely',She is not totally convinced of the team's strategy.,completely,She is totally wasted.,n,0
understand,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to perceive; to hold a point of view,I understand it to be in the range of $30-40 million.,to comprehend,I understand what you are saying.,y,0.161290323
unlikely,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),improbable,The candidate is unlikely to win the race.,not promising; unattractive,He is an unlikely mate.,n,1
unsure,hRel,create uncertainty in the commitment of the speaker to what they are saying (eg. 'I [think] (some fact)' as opposed to 'I [know] (some fact)'),to express uncertainty,I'm unsure about this.,lacking a feeling of confidence/safety,The footing on the bridge was unsure.,n,1
usually,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),ordinary; habitually,Mr. Smith usually comes by the coffeeshop half past eight.,Other,Other,y,1
virtually,hProp,introduce uncertainty or ambiguity into the content of the utterance itself (i.e. the speaker/author is fully committed to what they are saying but there is something imprecise in the content itself),for the most part,The signal is virtually untraceable.,with the use of technology,He virtually changed her password and reset the connection.,n,1
